sub_district_code,sub_district_name,district_code
2874,koliana,376
2875,bangiriposi,376
2876,chandua,376
2877,suliapada,376
2878,muruda,376
2879,rasagobindapur,376
2880,baisinga,376
2881,betanati,376
2882,barsahi,376
2883,khunta,376
2884,udala,376
2885,kaptipada,376
2886,sharata,376
2887,mahuldiha,376
2888,baripada (m),376
2889,raibania,377
2890,jaleswar,377
2891,bhograi,377
2892,kamarda,377
2893,baliapal,377
2894,singla,377
2895,basta,377
2896,rupsa,377
2897,baleshwar sadar,377
2898,sahadevkhunta,377
2899,chandipur,377
2900,balaramgadi marine,377
2901,bampada,377
2902,remuna,377
2903,nilagiri,377
2904,berhampur,377
2905,oupada,377
2906,khaira,377
2907,soro,377
2908,similia,377
2909,baleshwar (m),377
2910,agarpada,378
2911,bant,378
2912,bhandari pokhari,378
2913,dhamanagar,378
2914,bhadrak rural,378
2915,basudebpur,378
2916,naikanidihi,378
2917,tihidi,378
2918,dhusuri,378
2919,chandabali,378
2920,bansada,378
2921,dhamara marine,378
2922,rajkanika,379
2923,rajnagar,379
2924,jamboo marine,379
2925,aali,379
2926,pattamundai,379
2928,kendrapara sadar,379
2929,nikirai,379
2930,derabish,379
2931,patkura,379
2932,marsaghai,379
2933,mahakalapada,379
2934,paradip,380
2935,paradeep lock,380
2936,kujang,380
2937,abhyachandpur,380
2938,ersama,380
2939,tirtol,380
2940,jagatsinghapur,380
2941,biridi,380
2942,naugaon,380
2943,balikuda,380
2944,narasinghpur,381
2945,kanpur,381
2946,badamba,381
2947,baidyeswar,381
2948,banki,381
2949,tigiria,381
2950,athagad,381
2951,barang,381
2952,gurudijhatia,381
2953,khuntuni,381
2954,choudwar,381
2955,tangi,381
2956,mahanga,381
2957,salepur,381
2958,nischintakoili,381
2959,nemalo,381
2960,kishannagar,381
2961,jagatpur,381
2962,cuttack sadar,381
2963,kandarpur,381
2964,c.r.r.i.,381
2965,gobindpur,381
2966,olatapur,381
2967,niali,381
2969,sukinda,382
2970,tomka,382
2971,kaliapani,382
2972,kalinganagar,382
2973,jakhapura,382
2974,jajapur road,382
2975,korai,382
2976,panikoili,382
2977,jajapur,382
2978,jajpur sadar,382
2979,dharmasala,382
2980,jenapur,382
2981,kuakhia,382
2982,badachana,382
2983,balichandrapur,382
2984,binjharpur,382
2985,bari - ramachandrapur,382
2986,mangalpur,382
2987,parajang,383
2988,kamakshyanagar,383
2989,kankadahad,383
2990,bhuban,383
2991,gandia,383
2992,nihalprasad,383
2993,tumusingha,383
2994,motunga,383
2995,bhusan steel limited,383
2996,balimi,383
2997,hindol,383
2998,rasol,383
2999,dhenkanal sadar,383
3000,palalahada,384
3001,khamar,384
3002,rengali damsite,384
3003,kaniha,384
3004,n.t.p.c.,384
3005,samal barrage,384
3006,talcher sadar,384
3007,colliery,384
3008,bikrampur,384
3009,nalco,384
3010,banarpal,384
3011,anugul,384
3012,jarapada,384
3013,industrial,384
3014,chhendipada,384
3015,handapa,384
3016,kishorenagar,384
3017,athmallik,384
3018,kiakata,384
3019,thakurgarh,384
3020,purunakot,384
3021,bantala,384
3022,gania,385
3023,dasapalla,385
3024,banigochha,385
3025,nuagaon,385
3026,khandapada,385
3027,fategarh,385
3028,nayagarh,385
3029,itamati,385
3030,nayagarh sadar,385
3031,odagaon,385
3032,sarankul,385
3033,ranapur,385
3034,bolagad,386
3035,begunia,386
3036,khordha,386
3037,khordha sadar,386
3038,chandaka,386
3039,nandankanan,386
3041,mancheswar,386
3042,balianta,386
3043,balipatna,386
3044,lingaraj,386
3045,airfield (kapila prasad),386
3046,uttara,386
3047,khandagiri,386
3048,tamando,386
3049,jatani,386
3050,jankia,386
3051,nirakarpur,386
3052,tangi,386
3053,balugaon,386
3054,banapur,386
3055,bhubaneswar (m corp.),386
3056,delanga,387
3057,pipili,387
3058,nimapada,387
3059,kakatpur,387
3060,astaranga,387
3061,konark,387
3062,gop,387
3063,ramachandi,387
3064,satyabadi,387
3065,chandanpur,387
3066,sadar,387
3067,brahmagiri,387
3068,gadisagada,387
3069,krushna prasad,387
3071,tarasingi,388
3072,buguda,388
3073,jagannath prasad,388
3074,bhanjanagar,388
3075,gangapur,388
3076,surada,388
3077,badagada,388
3078,asika,388
3079,dharakote,388
3080,kabisuryanagar,388
3081,polasara,388
3082,kodala,388
3083,khalikote,388
3084,rambha,388
3085,chhatrapur,388
3086,ganjam,388
3087,chamakhandi,388
3088,arjyapalli marine,388
3089,purusottampur,388
3090,hinjili,388
3091,patapur,388
3092,seragad,388
3093,brahmapur sadar,388
3094,gopalpur,388
3095,golanthara,388
3096,digapahandi,388
3097,nuagaon,388
3098,jarada,388
3109,ramagiri,388
3100,adva,389
3101,mohana,389
3102,r.udaygiri,389
3103,serango,389
3104,kashinagara,389
3105,parlakhemundi,389
3106,gurandi,389
3107,rayagada,389
3108,garabandha,389
3110,gochhapada,390
3111,phulabani,390
3112,phulabani town,390
3113,khajuripada,390
3114,g.udayagiri,390
3115,tikabali,390
3116,chakapada,390
3117,sarangagarh,390
3118,phiringia,390
3119,baliguda,390
3120,nuagaon,390
3121,tumudibandha,390
3122,belaghar,390
3123,kotagarh,390
3124,brahmanigaon,390
3125,daringbadi,390
3126,raikia,390
3127,kantamal,391
3128,manamunda,391
3129,baunsuni,391
3130,baudh sadar,391
3131,puruna katak,391
3132,harbhanga,391
3133,dunguripali,392
3134,rampur,392
3135,binika,392
3136,ulunda,392
3137,biramaharajpur,392
3138,subalaya,392
3139,sonapur,392
3140,tarbha,392
3141,loisinga,393
3142,balangir,393
3143,tushura,393
3144,patnagarh,393
3145,khaprakhol,393
3146,turekela,393
3147,belpara,393
3148,saintala,393
3149,kantabanji,393
3150,bangomunda,393
3151,sindhekela,393
3152,titlagarh,393
3153,jonk,394
3154,nuapada,394
3155,komna,394
3156,khariar,394
3157,boden,394
3158,sinapali,394
3159,kesinga,395
3160,madanpur rampur,395
3161,narala,395
3162,lanjigarh,395
3163,biswanathpur,395
3164,sadar,395
3165,kegaon,395
3166,junagarh,395
3167,golamunda,395
3168,dharamgarh,395
3169,kokasara,395
3170,jayapatna,395
3171,thuamul rampur,395
3172,ambadala,396
3173,muniguda,396
3174,chandrapur,396
3175,bishamakatak,396
3176,kalyanasingpur,396
3177,kashipur,396
3178,andirakanch,396
3179,tikiri,396
3180,doraguda,396
3181,rayagada,396
3182,seskhal,396
3183,gunupur,396
3184,gudari,396
3185,padmapur,396
3186,puttasing,396
3187,raighar,397
3188,kundei,397
3189,umarkote,397
3190,chandahandi,397
3191,jharigan,397
3192,dabugan,397
3193,paparahandi,397
3194,kodinga,397
3195,kosagumuda,397
3196,nabarangapur,397
3197,tentulikhunti,397
3198,khatiguda,397
3199,kotpad,398
3200,boriguma,398
3201,bhairabsingipur,398
3202,dasamantapur,398
3203,lakshmipur,398
3204,narayanpatana,398
3205,bandhugaon,398
3206,kakiriguma,398
3207,koraput,398
3208,koraput town,398
3209,jeypore,398
3210,kundura,398
3211,boipariguda,398
3212,machh kund,398
3213,padua,398
3214,nandapur,398
3215,similiguda,398
3216,sunabeda,398
3217,damonjodi,398
3218,pottangi,398
3219,kotiya,398
3220,malkangiri,399
3221,mathili,399
3222,mudulipada,399
3223,chitrakonda,399
3224,paparmetla,399
3225,jodamba,399
3226,orkel,399
3227,kalimela,399
3228,podia,399
3229,m.v. 79,399
3230,motu,399
2495,kharaundhi,346
2496,bhawnathpur,346
2497,ketar,346
2498,kandi,346
2499,majhiaon,346
2500,bardiha,346
2501,ramna,346
2502,bishunpura,346
2503,nagaruntari,346
2504,dhurki,346
2505,sagma,346
2506,dandai,346
2507,chinia,346
2508,meral (pipra kalan),346
2509,garhwa,346
2510,danda,346
2511,ranka,346
2512,ramkanda,346
2513,bhandaria,346
2514,shaligram ram narayanpur(hunterganj),347
2515,pratappur,347
2516,kunda,347
2517,lawalaung,347
2518,chatra,347
2519,kanha chatti,347
2520,itkhori,347
2521,mayur hand,347
2522,gidhaur,347
2523,pathalgora,347
2524,simaria,347
2525,tandwa,347
2526,satgawan,348
2527,kodarma,348
2528,domchanch,348
2529,jainagar,348
2530,chandwara,348
2531,markacho,348
2532,gawan,349
2533,tisri,349
2534,deori,349
2535,dhanwar,349
2536,jamua,349
2537,bengabad,349
2538,gande,349
2539,giridih,349
2540,birni,349
2541,bagodar,349
2542,sariya,349
2543,dumri,349
2544,pirtanr,349
2545,deoghar,350
2546,mohanpur,350
2547,sarwan,350
2548,sona rai tharhi,350
2549,devipur,350
2550,madhupur,350
2551,margo munda,350
2552,karon,350
2553,sarath,350
2554,palojori,350
2555,meherma,351
2556,thakurgangti,351
2557,boarijor,351
2558,mahagama,351
2559,pathargama,351
2560,bashant rai,351
2561,godda,351
2562,poreyahat,351
2563,sundarpahari,351
2564,sahibganj,352
2565,mandro,352
2566,borio,352
2567,barhait,352
2568,taljhari,352
2569,rajmahal,352
2570,udhwa,352
2571,pathna,352
2572,barharwa,352
2573,litipara,353
